Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
710587,2021-09-11 14:00:00+00:00,G. Scott,Brentford Community Stadium,"Brentford, Middlesex",Brentford,Brighton,0,1,Away Win,1,6,7,0,5,2,9,1,0,41%,3,0,1,336,250,74%,2,1,4,1,3,1,12,5,2,59%,2,0,1,496,396,80%,0,0,8.333333333333334,5.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,0.0,10.0,10.0,6.666666666666667,5.0,3.3333333333333335,0.0,1.6666666666666667,10.833333333333334
710592,2021-09-11 14:00:00+00:00,P. Tierney,King Power Stadium,"Leicester, Leicestershire",Leicester,Manchester City,0,1,Away Win,1,3,6,2,6,0,4,5,2,40%,1,0,7,364,295,81%,8,7,25,10,21,4,11,8,4,60%,2,0,2,557,501,90%,0,0,10.0,6.666666666666667,8.333333333333334,3.3333333333333335,0.0,1.6666666666666667,9.166666666666668,10.0,16.666666666666668,1.6666666666666667,3.3333333333333335,0.0,1.6666666666666667,17.5
710594,2021-09-11 14:00:00+00:00,D. Coote,St. Mary's Stadium,"Southampton, Hampshire",Southampton,West Ham,0,0,Draw,3,5,11,3,10,1,10,5,0,42%,3,0,3,390,310,79%,3,3,13,7,5,8,12,4,2,58%,3,1,2,541,468,87%,0,0,3.3333333333333335,6.666666666666667,10.0,0.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,11.666666666666668,16.666666666666668,8.333333333333334,3.3333333333333335,1.6666666666666667,0.0,15.833333333333334
710595,2021-09-11 14:00:00+00:00,P. Bankes,Vicarage Road,Watford,Watford,Wolves,0,2,Away Win,2,4,6,0,2,4,15,6,1,44%,3,0,4,370,306,83%,5,6,14,3,9,5,13,8,2,56%,3,0,2,485,428,88%,0,0,5.0,5.0,8.333333333333334,1.6666666666666667,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,5.0,0.0,0.0,5.0,-2.5
710593,2021-09-11 14:00:00+00:00,A. Taylor,Old Trafford,Manchester,Manchester United,Newcastle,4,1,Home Win,7,9,21,5,12,9,9,7,1,64%,1,0,2,644,581,90%,3,6,12,3,5,7,2,3,3,36%,0,0,2,365,299,82%,0,0,11.666666666666668,11.666666666666668,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.0,15.833333333333334,1.6666666666666667,6.666666666666667,13.333333333333334,0.0,1.6666666666666667,3.3333333333333335,-1.6666666666666667
710588,2021-09-11 16:30:00+00:00,S. Attwell,Stamford Bridge,London,Chelsea,Aston Villa,3,0,Home Win,4,6,12,2,6,6,11,4,2,57%,1,0,6,476,396,83%,6,3,18,9,11,7,11,11,1,43%,4,0,1,344,270,78%,0,0,11.666666666666668,10.0,1.6666666666666667,3.3333333333333335,1.6666666666666667,0.0,15.833333333333334,6.666666666666667,8.333333333333334,6.666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,7.5
710591,2021-09-12 15:30:00+00:00,C. Pawson,Elland Road,"Leeds, West Yorkshire",Leeds,Liverpool,0,3,Away Win,4,4,9,1,8,1,9,2,2,44%,2,1,5,404,328,81%,9,6,30,15,22,8,8,11,4,56%,1,0,4,524,454,87%,0,0,3.3333333333333335,6.666666666666667,13.333333333333334,0.0,3.3333333333333335,1.6666666666666667,0.0,11.666666666666668,10.0,1.6666666666666667,3.3333333333333335,1.6666666666666667,0.0,15.833333333333334
710590,2021-09-13 19:00:00+00:00,M. Atkinson,Goodison Park,Liverpool,Everton,Burnley,3,1,Home Win,6,4,14,4,8,6,3,4,2,52%,1,0,5,416,308,74%,6,3,11,2,7,4,6,6,2,48%,1,0,3,384,261,68%,0,0,11.666666666666668,11.666666666666668,5.0,3.3333333333333335,1.6666666666666667,0.0,15.0,1.6666666666666667,3.3333333333333335,8.333333333333334,0.0,1.6666666666666667,3.3333333333333335,-0.8333333333333334
710601,2021-09-17 19:00:00+00:00,M. Dean,St. James' Park,Newcastle upon Tyne,Newcastle,Leeds,1,1,Draw,7,8,17,2,10,7,9,4,1,35%,2,0,9,301,211,70%,9,9,22,4,10,12,11,5,1,65%,2,0,6,541,460,85%,0,0,1.25,6.25,15.0,0.0,1.25,3.75,-3.125,2.5,5.0,13.75,0.0,2.5,2.5,-1.875
710605,2021-09-18 11:30:00+00:00,D. England,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Brentford,0,2,Away Win,0,8,11,3,4,7,10,4,2,62%,4,0,1,519,436,84%,3,5,9,1,6,3,7,2,2,38%,4,1,0,324,242,75%,0,0,3.75,2.5,3.75,1.25,0.0,3.75,3.125,6.25,3.75,2.5,1.25,2.5,1.25,6.875
710598,2021-09-18 14:00:00+00:00,A. Taylor,Turf Moor,Burnley,Burnley,Arsenal,0,1,Away Win,3,10,18,5,13,5,9,8,4,45%,2,0,2,392,291,74%,3,4,13,6,6,7,8,3,2,55%,1,0,3,523,420,80%,0,0,1.25,3.75,10.0,0.0,1.25,3.75,-1.875,3.75,1.25,11.25,1.25,0.0,3.75,-1.25
710600,2021-09-18 14:00:00+00:00,J. Moss,Etihad Stadium,Manchester,Manchester City,Southampton,0,0,Draw,1,8,16,7,9,7,5,8,4,64%,0,0,2,555,484,87%,2,2,10,6,6,4,12,5,0,36%,2,0,1,319,239,75%,0,0,11.25,13.75,1.25,3.75,0.0,1.25,17.5,3.75,5.0,7.5,0.0,3.75,1.25,2.5
710599,2021-09-18 14:00:00+00:00,A. Madley,Anfield,Liverpool,Liverpool,Crystal Palace,3,0,Home Win,10,5,25,10,17,8,17,10,1,60%,3,0,2,490,412,84%,2,5,13,6,6,7,11,5,3,40%,1,0,7,332,253,76%,0,0,12.5,11.25,1.25,3.75,1.25,0.0,17.5,6.25,6.25,6.25,1.25,2.5,1.25,6.25
