Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Away Shots on Goal,Home Shots off Goal,Away Shots off Goal,Home Total Shots,Away Total Shots,Home Blocked Shots,Away Blocked Shots,Home Shots insidebox,Away Shots insidebox,Home Shots outsidebox,Away Shots outsidebox,Home Fouls,Away Fouls,Home Corner Kicks,Away Corner Kicks,Home Offsides,Away Offsides,Home Ball Possession,Away Ball Possession,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Goalkeeper Saves,Away Goalkeeper Saves,Home Total passes,Away Total passes,Home Passes accurate,Away Passes accurate,Home Passes %,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
194553,2010-08-29 12:30:00+00:00,,Reebok Stadium (Bolton),,Bolton,Birmingham,2,2,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,7.5,2.5,2.5,2.5,0.0,12.5,10.0,10.0,7.5,2.5,2.5,0.0,11.25
194555,2010-08-29 14:00:00+00:00,,Anfield (Liverpool),,Liverpool,West Brom,1,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,10.0,0.0,2.5,2.5,-1.25,7.5,2.5,15.0,2.5,0.0,2.5,1.25
194554,2010-08-29 14:00:00+00:00,,Stadium of Light (Sunderland),,Sunderland,Manchester City,1,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5.0,7.5,0.0,2.5,2.5,1.25,10.0,7.5,0.0,2.5,2.5,0.0,13.75
194556,2010-08-29 15:00:00+00:00,,Villa Park (Birmingham),,Aston Villa,Everton,1,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,15.0,2.5,0.0,2.5,3.75,2.5,2.5,5.0,0.0,2.5,2.5,1.25
194537,2010-09-11 11:45:00+00:00,,Goodison Park (Liverpool),,Everton,Manchester United,3,3,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,1.6666666666666667,5.0,0.0,1.6666666666666667,3.3333333333333335,0.0,11.666666666666668,13.333333333333334,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.0,16.666666666666668
194540,2010-09-11 14:00:00+00:00,,"The Hawthorns, West Bromwich (West Bromwich)",,West Brom,Tottenham,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.6666666666666667,11.666666666666668,1.6666666666666667,0.0,3.3333333333333335,0.0,6.666666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,6.666666666666667
194538,2010-09-11 14:00:00+00:00,,The DW Stadium (Wigan),,Wigan,Sunderland,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.6666666666666667,16.666666666666668,1.6666666666666667,0.0,3.3333333333333335,-2.5,6.666666666666667,5.0,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,6.666666666666667
194539,2010-09-11 14:00:00+00:00,,Boleyn Ground (London),,West Ham,Chelsea,1,3,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6666666666666667,15.0,0.0,0.0,5.0,-6.666666666666667,15.0,23.333333333333336,0.0,5.0,0.0,0.0,26.666666666666668
194541,2010-09-11 14:00:00+00:00,,Sports Direct Arena (Newcastle-upon-Tyne),,Newcastle,Blackpool,0,2,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,11.666666666666668,6.666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,9.166666666666668,6.666666666666667,10.0,13.333333333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667,5.0
194544,2010-09-11 14:00:00+00:00,,Emirates Stadium (London),,Arsenal,Bolton,4,1,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.666666666666668,15.0,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.0,17.5,8.333333333333334,8.333333333333334,5.0,1.6666666666666667,3.3333333333333335,0.0,10.0
