Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Home expected_goals,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
1035064,2023-08-26 14:00:00+00:00,S. Attwell,Old Trafford,Manchester,Manchester United,Nottingham Forest,3,2,Home Win,9,5,18,4,7,11,13,11,3,66%,4,0,2,637,548,86%,2.83,4,3,9,2,7,2,11,3,2,34%,4,1,7,316,228,72%,1.21,7.5,2.5,5.0,2.5,0.0,2.5,6.25,7.5,7.5,7.5,2.5,0.0,2.5,7.5
1035058,2023-08-26 14:00:00+00:00,P. Tierney,Emirates Stadium,London,Arsenal,Fulham,2,2,Draw,11,5,19,3,16,3,6,8,4,71%,0,0,1,680,614,90%,3.2,3,3,8,2,6,2,5,3,1,29%,6,1,8,274,196,72%,0.56,15.0,7.5,2.5,5.0,0.0,0.0,17.5,7.5,2.5,7.5,2.5,0.0,2.5,5.0
1035060,2023-08-26 16:30:00+00:00,A. Taylor,The American Express Community Stadium,"Falmer, East Sussex",Brighton,West Ham,1,3,Away Win,10,5,25,10,13,12,10,17,1,78%,1,0,4,749,668,89%,1.48,7,4,12,1,10,2,9,4,2,22%,3,0,9,208,141,68%,3.23,15.0,20.0,5.0,5.0,0.0,0.0,22.5,10.0,10.0,5.0,2.5,2.5,0.0,12.5
1035061,2023-08-27 13:00:00+00:00,M. Salisbury,Turf Moor,Burnley,Burnley,Aston Villa,1,3,Away Win,2,6,9,1,6,3,12,4,5,57%,2,0,3,594,528,89%,0.73,6,4,16,6,12,4,11,6,1,43%,0,0,1,454,380,84%,2.7,0.0,0.0,15.0,0.0,0.0,5.0,-7.5,7.5,12.5,12.5,2.5,0.0,2.5,7.5
1035066,2023-08-27 13:00:00+00:00,J. Gillett,Bramall Lane,Sheffield,Sheffield Utd,Manchester City,1,2,Away Win,2,4,6,0,4,2,11,1,1,21%,4,0,7,194,132,68%,0.67,9,13,30,8,20,10,2,12,2,79%,0,0,0,742,685,92%,3.6,0.0,2.5,7.5,0.0,0.0,5.0,-2.5,15.0,10.0,0.0,5.0,0.0,0.0,20.0
1035065,2023-08-27 15:30:00+00:00,J. Brooks,St. James' Park,Newcastle upon Tyne,Newcastle,Liverpool,1,2,Away Win,8,11,23,4,14,9,16,5,0,60%,1,0,2,590,508,86%,1.99,4,3,9,2,6,3,10,9,1,40%,2,1,7,384,307,80%,0.88,7.5,12.5,5.0,2.5,0.0,2.5,11.25,10.0,10.0,5.0,2.5,2.5,0.0,12.5
1035074,2023-09-01 19:00:00+00:00,P. Tierney,Kenilworth Road,"Luton, Bedfordshire",Luton,West Ham,1,2,Away Win,1,10,16,5,13,3,8,9,0,39%,1,0,1,366,266,73%,1.47,3,4,9,2,6,3,13,6,6,61%,1,0,0,609,507,83%,1.03,0.0,2.5,17.5,0.0,0.0,5.0,-7.5,11.666666666666668,11.666666666666668,5.0,3.3333333333333335,1.6666666666666667,0.0,15.0
1035076,2023-09-02 11:30:00+00:00,A. Madley,Bramall Lane,Sheffield,Sheffield Utd,Everton,2,2,Draw,8,4,13,1,11,2,11,4,1,45%,1,0,4,384,286,74%,1.19,6,3,16,7,10,6,13,6,2,55%,2,0,6,459,349,76%,2.59,0.0,3.3333333333333335,8.333333333333334,0.0,0.0,5.0,-2.5,0.0,0.0,10.0,0.0,0.0,5.0,-5.0
1035068,2023-09-02 14:00:00+00:00,R. Madley,Gtech Community Stadium,"Brentford, Middlesex",Brentford,Bournemouth,2,2,Draw,7,11,21,3,16,5,6,5,1,61%,1,0,3,484,402,83%,2.91,5,5,12,2,10,2,13,2,1,39%,2,0,6,310,224,72%,2.09,8.333333333333334,10.0,5.0,1.6666666666666667,3.3333333333333335,0.0,10.833333333333334,1.6666666666666667,3.3333333333333335,10.0,0.0,1.6666666666666667,3.3333333333333335,-1.6666666666666667
1035075,2023-09-02 14:00:00+00:00,M. Oliver,Etihad Stadium,Manchester,Manchester City,Fulham,5,1,Home Win,5,1,7,1,7,0,12,4,1,68%,2,0,3,733,656,89%,2.26,4,1,6,1,5,1,12,5,1,32%,4,0,0,336,272,81%,1.45,15.0,10.0,1.6666666666666667,5.0,0.0,0.0,19.166666666666668,6.666666666666667,5.0,8.333333333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667,5.0
1035070,2023-09-02 14:00:00+00:00,D. England,Turf Moor,Burnley,Burnley,Tottenham,2,5,Away Win,4,6,16,6,8,8,15,7,2,46%,4,0,6,467,376,81%,1.36,11,3,21,7,11,10,9,4,1,54%,3,0,3,563,488,87%,2.28,0.0,2.5,15.0,0.0,0.0,5.0,-6.25,11.666666666666668,10.0,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.0,15.0
1035071,2023-09-02 14:00:00+00:00,T. Robinson,Stamford Bridge,London,Chelsea,Nottingham Forest,0,1,Away Win,2,6,21,13,11,10,10,7,2,76%,3,0,2,713,632,89%,2.3,3,4,7,0,4,3,9,0,3,24%,4,0,2,230,143,62%,0.76,6.666666666666667,8.333333333333334,6.666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,7.5,5.0,8.333333333333334,10.0,1.6666666666666667,0.0,3.3333333333333335,4.166666666666667
1035069,2023-09-02 16:30:00+00:00,S. Attwell,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Newcastle,3,1,Home Win,6,5,15,4,9,6,14,5,5,56%,4,0,2,565,507,90%,1.3,2,4,9,3,7,2,17,3,0,44%,4,0,4,440,371,84%,1.23,10.0,15.0,8.333333333333334,3.3333333333333335,0.0,1.6666666666666667,13.333333333333334,5.0,10.0,6.666666666666667,1.6666666666666667,0.0,3.3333333333333335,6.666666666666667
1035073,2023-09-03 13:00:00+00:00,S. Hooper,Anfield,Liverpool,Liverpool,Aston Villa,3,0,Home Win,4,10,17,3,11,6,12,7,6,64%,0,0,3,694,635,91%,2.47,3,6,9,0,9,0,7,3,1,36%,1,0,2,388,316,81%,0.66,11.666666666666668,10.0,5.0,3.3333333333333335,1.6666666666666667,0.0,14.166666666666668,10.0,13.333333333333334,10.0,3.3333333333333335,0.0,1.6666666666666667,11.666666666666668
1035072,2023-09-03 13:00:00+00:00,R. Jones,Selhurst Park,London,Crystal Palace,Wolves,3,2,Home Win,11,4,16,1,14,2,12,4,1,43%,1,0,2,393,313,80%,2.11,4,6,12,2,9,3,12,2,2,57%,3,0,7,519,434,84%,1.18,6.666666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,6.666666666666667,5.0,3.3333333333333335,8.333333333333334,1.6666666666666667,0.0,3.3333333333333335,2.5
1035067,2023-09-03 15:30:00+00:00,A. Taylor,Emirates Stadium,London,Arsenal,Manchester United,3,1,Home Win,5,4,17,8,12,5,8,12,2,55%,2,0,1,532,464,87%,2.27,2,1,10,7,7,3,7,3,1,45%,3,0,2,462,392,85%,0.94,11.666666666666668,8.333333333333334,5.0,3.3333333333333335,1.6666666666666667,0.0,13.333333333333334,10.0,6.666666666666667,6.666666666666667,3.3333333333333335,0.0,1.6666666666666667,10.0
1035086,2023-09-16 11:30:00+00:00,M. Oliver,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Liverpool,1,3,Away Win,2,7,11,2,7,4,10,4,1,34%,1,0,3,367,296,81%,0.63,6,7,16,3,11,5,4,4,0,66%,3,0,1,729,638,88%,2.52,3.75,5.0,10.0,1.25,0.0,3.75,1.25,12.5,11.25,3.75,3.75,1.25,0.0,16.25
1035085,2023-09-16 14:00:00+00:00,A. Madley,London Stadium,London,West Ham,Manchester City,1,3,Away Win,3,2,6,1,5,1,7,4,1,32%,3,0,10,320,276,86%,0.94,15,5,29,9,18,11,11,11,0,68%,2,0,2,704,653,93%,3.63,12.5,11.25,5.0,3.75,1.25,0.0,15.625,15.0,13.75,2.5,5.0,0.0,0.0,20.625
1035081,2023-09-16 14:00:00+00:00,J. Gillett,Old Trafford,Manchester,Manchester United,Brighton,1,3,Away Win,4,4,14,6,8,6,8,8,4,44%,2,0,5,497,425,86%,0.96,8,2,10,0,7,3,9,1,1,56%,2,0,3,661,602,91%,1.7,7.5,6.25,8.75,2.5,0.0,2.5,6.25,11.25,15.0,7.5,3.75,0.0,1.25,15.0
1035080,2023-09-16 14:00:00+00:00,M. Salisbury,Craven Cottage,London,Fulham,Luton,1,0,Home Win,2,5,13,6,6,7,6,6,0,78%,2,0,2,809,733,91%,0.96,2,4,7,1,7,0,14,2,1,22%,2,0,1,222,150,68%,1.1,5.0,5.0,12.5,1.25,1.25,2.5,1.25,0.0,3.3333333333333335,15.0,0.0,0.0,5.0,-5.833333333333334
1035084,2023-09-16 14:00:00+00:00,P. Bankes,Tottenham Hotspur Stadium,London,Tottenham,Sheffield Utd,2,1,Home Win,10,9,28,9,19,9,13,15,2,70%,6,0,4,620,545,88%,2.12,5,1,7,1,6,1,14,2,3,30%,7,1,8,269,185,69%,0.66,12.5,13.75,5.0,3.75,1.25,0.0,16.875,1.25,5.0,8.75,0.0,1.25,3.75,-0.625
1035078,2023-09-16 14:00:00+00:00,D. England,Villa Park,Birmingham,Aston Villa,Crystal Palace,3,1,Home Win,5,5,16,6,12,4,13,4,1,67%,5,0,2,604,522,86%,3.21,3,2,6,1,4,2,9,2,0,33%,3,0,2,303,226,75%,1.17,7.5,10.0,11.25,2.5,0.0,2.5,6.875,8.75,6.25,5.0,2.5,1.25,1.25,9.375
