Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
157049,2019-09-01T13:00:00+00:00,"Anthony Taylor, England",Goodison Park,Liverpool,Everton,Wolves,3,2,Home Win,6,3,15,6,11,4,12,7,1,58%,1,0,3,451,364,81%,5,1,8,2,6,2,12,7,2,42%,6,1,3,320,217,68%,0,0
157045,2019-09-01T15:30:00+00:00,"Martin Atkinson, England",Emirates Stadium,London,Arsenal,Tottenham,2,2,Draw,8,10,26,8,13,13,13,11,3,54%,3,0,7,453,380,84%,9,3,13,1,6,7,19,6,1,46%,5,0,6,388,309,80%,0,0
157058,2019-09-14T11:30:00+00:00,"Andre Marriner, England",Anfield,Liverpool,Liverpool,Newcastle,3,1,Home Win,9,9,21,3,18,3,5,10,2,75%,0,0,0,847,764,90%,1,4,8,3,4,4,4,1,8,25%,0,0,5,282,205,73%,0,0
157059,2019-09-14T14:00:00+00:00,"Martin Atkinson, England",Old Trafford,Manchester,Manchester United,Leicester,1,0,Home Win,5,5,10,0,4,6,14,3,0,41%,1,0,3,345,258,75%,3,4,9,2,3,6,14,9,2,59%,2,0,4,471,373,79%,0,0
157064,2019-09-14T14:00:00+00:00,"Graham Scott, England",Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Chelsea,2,5,Away Win,4,4,11,3,8,3,8,7,1,45%,1,0,1,449,350,78%,6,7,15,2,14,1,11,5,1,55%,2,0,3,555,472,85%,0,0
157062,2019-09-14T14:00:00+00:00,"Craig Pawson, England",Tottenham Hotspur Stadium,London,Tottenham,Crystal Palace,4,0,Home Win,5,7,13,1,7,6,19,4,1,64%,4,0,6,640,563,88%,6,2,11,3,9,2,11,3,0,36%,3,0,2,357,276,77%,0,0
157057,2019-09-14T14:00:00+00:00,"Michael Oliver, England",The American Express Community Stadium,"Falmer, East Sussex",Brighton,Burnley,1,1,Draw,5,7,14,2,11,3,13,3,2,62%,0,0,0,491,372,76%,1,6,7,0,5,2,7,6,2,38%,2,0,4,284,178,63%,0,0
157061,2019-09-14T14:00:00+00:00,"Lee Mason, England",Bramall Lane,Sheffield,Sheffield Utd,Southampton,0,1,Away Win,4,8,17,5,13,4,10,12,3,48%,1,1,6,414,308,74%,7,3,11,1,8,3,7,6,1,52%,1,0,4,467,363,78%,0,0
157060,2019-09-14T16:30:00+00:00,"Kevin Friend, England",Carrow Road,"Norwich, Norfolk",Norwich,Manchester City,3,2,Home Win,3,3,7,1,6,1,8,3,1,31%,3,0,6,318,236,74%,8,6,25,11,18,7,7,16,0,69%,1,0,0,671,594,89%,0,0
157055,2019-09-15T13:00:00+00:00,"Paul Tierney, England",Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Everton,3,1,Home Win,6,5,13,2,8,5,5,7,4,40%,0,0,4,336,232,69%,5,5,14,4,9,5,14,7,0,60%,4,0,3,488,373,76%,0,0
